Collection_Num,BirdID,Sex,AgeY,AgeClass,BirthFPID,U_PlateID,RTL,Technician,Terr,FPID,mum,dad,MAC,PAC,BrF,BrM
2373,5220,1,0.328767123,OFL,85,7_34,0.5,1,111,87,3517,1579,2.591780822,7.764383562,3517,1593
2374,5240,1,2.309589041,A,85,8_29,0.71,1,39,104,3699,1808,2.435616438,4.608219178,3699,1808
2375,5240,1,3.698630137,A,85,8_30,0.6,1,39,110,3699,1808,2.435616438,4.608219178,3699,1808
2376,5240,1,3.260273973,A,85,8_37,0.89,1,39,105,3699,1808,2.435616438,4.608219178,3699,1808
2377,5240,1,0.328767123,OFL,85,8_6,0.98,1,112,87,3699,1808,2.435616438,4.608219178,3699,1808
2378,5248,1,0.657534247,SA,85,8_1,0.52,1,117,87,5162,1579,0.846575342,7.465753425,5162,1579
2379,5194,0,1.150684932,SA,85,8_29,1.4,1,-2,90,1419,1795,8.578082192,5.260273973,1419,1795
2380,5194,0,0.657534247,SA,85,8_20,1.27,1,16,87,1419,1795,8.578082192,5.260273973,1419,1795
2381,5263,0,0.328767123,OFL,85,8_12,1.83,1,30.2,87,1824,3612,4.630136986,2.542465753,1419,1795
2382,5199,1,0.328767123,OFL,85,8_14,0.98,1,2,87,1763,1702,5.728767123,5.575342466,1763,2980
2383,5195,0,4.238356164,A,85,8_40,0.56,1,47,116,1740,1750,6.463013699,5.580821918,1740,1187
2384,5195,0,4.517808219,A,85,8_37,1.11,1,47,116,1740,1750,6.463013699,5.580821918,1740,1187
2385,5195,0,3.364383562,A,85,8_29,0.68,1,47,105,1740,1750,6.463013699,5.580821918,1740,1187
2386,5195,0,6.512328767,A,85,8_34,1.08,1,47,125,1740,1750,6.463013699,5.580821918,1740,1187
2387,5195,0,6.438356164,A,85,8_39,1.21,1,47,125,1740,1750,6.463013699,5.580821918,1740,1187
2388,5195,0,0.328767123,OFL,85,8_1,1.21,1,3.1,87,1740,1750,6.463013699,5.580821918,1740,1187
2389,5195,0,0.805479452,SA,85,8_18,1.47,1,3.1,90,1740,1750,6.463013699,5.580821918,1740,1187
2390,5262,1,2.282191781,A,85,7_26,0.66,1,130,104,1821,1504,5.610958904,8.780821918,1821,1504
2391,5262,1,0.328767123,OFL,85,3_74,1.57,2,46.5,87,1821,1504,5.610958904,8.780821918,1821,1504
2392,5249,1,4.77260274,A,85,8_36,1.28,1,63,116,1782,1881,5.375342466,4.249315068,1782,1881
2393,5249,1,5.676712329,A,85,8_40,0.87,1,63,122,1782,1881,5.375342466,4.249315068,1782,1881
